   BINSIZE: 0.188562
# VELOCITY:     AVE_POFV:        ERROR:
           1           0           0           0
           1  0.00147314  0.00147314           0
           1 0.000982093 0.000982093           0
           1 0.000982093 0.000982093           0
           1  0.00147314  0.00147314           0
           1  0.00785674  0.00785674           0
           1   0.0206239   0.0206239           0
           1   0.0486136   0.0486136           0
           1    0.063836    0.063836           0
           1    0.105575    0.105575           0
           1     0.27695     0.27695           0
           1    0.403149    0.403149           0
           1     1.35578     1.35578           0
           1     1.86794     1.86794           0
           1    0.852948    0.852948           0
           1    0.240122    0.240122           0
           1     0.04223     0.04223           0
           1    0.010312    0.010312           0
           1  0.00245523  0.00245523           0
           1           0           0           0
           1           0           0           0
           1           0           0           0
           1           0           0           0
           1           0           0           0
           1           0           0           0
           1           0           0           0
           1           0           0           0
           1           0           0           0
           1           0           0           0
           1           0           0           0
           2           0           0           0
           2   0.0176777   0.0095754  0.00572917
           2   0.0510688   0.0260255   0.0177083
           2    0.073657   0.0373195   0.0256944
           2   0.0437031   0.0225881   0.0149306
           2   0.0515599   0.0297083   0.0154514
           2   0.0456673   0.0331456  0.00885417
           2   0.0967361   0.0726749   0.0170139
           2    0.176777    0.120306   0.0399306
           2    0.463057    0.284316    0.126389
           2    0.391855    0.334403    0.040625
           2    0.496939    0.450044   0.0331597
           2     0.62412    0.989949    0.258681
           2    0.533276     1.20061    0.471875
           2    0.673225    0.763086   0.0635417
           2    0.646708    0.443415     0.14375
           2    0.372213    0.207222    0.116667
           2    0.278423    0.144368   0.0947917
           2    0.144368   0.0734114   0.0501736
           2   0.0569614   0.0284807   0.0201389
           2   0.0559793   0.0279896   0.0197917
           2  0.00245523  0.00122762 0.000868056
           2  0.00196419 0.000982093 0.000694444
           2  0.00245523  0.00122762 0.000868056
           2  0.00245523  0.00122762 0.000868056
           2           0           0           0
           2           0           0           0
           2           0           0           0
           2           0           0           0
           2           0           0           0
           3           0           0           0
           3           0   0.0063836  0.00462384
           3   0.0137493   0.0219334   0.0122692
           3   0.0343732   0.0363374   0.0171484
           3   0.0805316   0.0419026   0.0186488
           3    0.084951   0.0481225   0.0182254
           3     0.21115   0.0924804   0.0488049
           3    0.303467    0.149605   0.0638295
           3    0.371722    0.204112   0.0734225
           3    0.526402    0.365011    0.106962
           3    0.493993    0.387599   0.0511869
           3    0.461093    0.453727   0.0223101
           3    0.380561     0.78682    0.239266
           3    0.277441    0.892886    0.402606
           3    0.447343    0.657838    0.095808
           3    0.465512    0.450781   0.0960219
           3    0.316234    0.243559   0.0832446
           3    0.339313    0.209349   0.0825144
           3    0.196419    0.114414   0.0473248
           3   0.0775853   0.0448489   0.0189438
           3    0.122762   0.0595803   0.0289725
           3   0.0206239  0.00769306  0.00531064
           3   0.0540151   0.0186598   0.0144412
           3   0.0132583  0.00523783  0.00332507
           3  0.00245523  0.00163682 0.000668229
           3  0.00834779   0.0027826  0.00227198
           3           0           0           0
           3           0           0           0
           3           0           0           0
           3           0           0           0
           4           0           0           0
           4   0.0206239  0.00994369  0.00464024
           4   0.0324091   0.0245523  0.00947732
           4    0.130127   0.0597849   0.0240364
           4    0.063836    0.047386   0.0147707
           4    0.235702   0.0950175   0.0428508
           4    0.313779    0.147805   0.0602946
           4    0.307395    0.189053   0.0588116
           4    0.448816    0.265288    0.076415
           4    0.404622    0.374914   0.0806783
           4    0.456182    0.404745   0.0411617
           4    0.424264    0.446361   0.0179072
           4    0.428192    0.697163    0.195527
           4    0.424264    0.775731    0.318544
           4    0.243068    0.554146     0.11501
           4    0.269093    0.405359   0.0820592
           4    0.209677    0.235088   0.0628629
           4     0.29561    0.230915   0.0646424
           4    0.200838     0.13602   0.0401237
           4    0.165483   0.0750073   0.0297323
           4   0.0815137   0.0650636   0.0222422
           4   0.0903525   0.0283579   0.0183342
           4  0.00343732   0.0148542   0.0113212
           4  0.00392837  0.00491046  0.00250987
           4   0.0132583  0.00454218  0.00256554
           4   0.0368285   0.0112941  0.00756554
           4           0           0           0
           4           0           0           0
           4           0           0           0
           4           0           0           0
           5           0           0           0
           5  0.00834779  0.00962451  0.00372315
           5    0.125708   0.0447834   0.0196195
           5   0.0284807   0.0535241    0.020028
           5    0.177268   0.0733623   0.0260662
           5    0.280387    0.132091   0.0476943
           5    0.410024    0.200249   0.0672827
           5    0.294137     0.21007   0.0506656
           5     0.49252    0.310734   0.0734127
           5    0.467967    0.393525   0.0666546
           5    0.493993    0.422595   0.0365955
           5    0.317707     0.42063   0.0271088
           5    0.346188    0.626968    0.168551
           5    0.433594    0.707303    0.262082
           5    0.213605    0.486038    0.110347
           5    0.172848    0.358857   0.0777144
           5    0.340786    0.256228   0.0537273
           5    0.190526    0.222837   0.0522162
           5   0.0839689     0.12561   0.0334222
           5    0.132583   0.0865224     0.02592
           5   0.0461584   0.0612826   0.0181123
           5    0.126199   0.0479261   0.0228355
           5   0.0240613   0.0166956  0.00920552
           5   0.0289717  0.00972272  0.00474951
           5   0.0608898   0.0158117   0.0102866
           5   0.0063836    0.010312  0.00611584
           5           0           0           0
           5           0           0           0
           5           0           0           0
           5           0           0           0
           6   0.0073657  0.00122762  0.00112065
           6  0.00982093  0.00965725  0.00310277
           6    0.095754   0.0532785   0.0180955
           6    0.100665   0.0613808   0.0181658
           6    0.185616   0.0920712   0.0276319
           6     0.38007    0.173421   0.0548009
           6      0.3565    0.226291   0.0609005
           6    0.323109    0.228909   0.0455897
           6    0.542115    0.349298   0.0705828
           6    0.463548    0.405195    0.056558
           6    0.476806     0.43163   0.0315919
           6    0.391364    0.415753   0.0230253
           6    0.286771    0.570269    0.149693
           6    0.285298    0.636969    0.227644
           6    0.230792    0.443497     0.09982
           6    0.463057    0.376223   0.0666742
           6    0.183651    0.244132   0.0461143
           6  0.00540151    0.186598    0.054661
           6   0.0432121    0.111877   0.0305431
           6     0.17383    0.101074   0.0253576
           6   0.0756211   0.0636723   0.0152504
           6   0.0967361   0.0560611   0.0204273
           6   0.0613808   0.0241431   0.0102504
           6   0.0564703    0.017514  0.00813952
           6  0.00834779   0.0145677  0.00864705
           6           0  0.00859331  0.00533256
           6           0           0           0
           6           0           0           0
           6           0           0           0
           6           0           0           0
           7   0.0230792  0.00434927  0.00304554
           7   0.0569614    0.016415  0.00679825
           7    0.167447   0.0695883   0.0216467
           7    0.147805   0.0737271   0.0193158
           7    0.253871    0.115185   0.0319202
           7    0.186598    0.175304   0.0470046
           7    0.310341    0.238298    0.053371
           7    0.522473    0.270847   0.0550865
           7    0.360428    0.350888   0.0605175
           7    0.683537    0.444958   0.0608718
           7    0.254853    0.406376   0.0357758
           7    0.470913    0.423633   0.0210413
           7    0.304449    0.532294    0.133038
           7    0.268602    0.584345    0.201114
           7    0.201329    0.408901   0.0913585
           7    0.434576    0.384559   0.0576681
           7    0.130127    0.227846   0.0423048
           7   0.0589256    0.168359   0.0498023
           7   0.0662913    0.105365   0.0268651
           7   0.0829868   0.0984899   0.0218664
           7   0.0721838   0.0648883   0.0131202
           7    0.101647   0.0625733   0.0185181
           7    0.094772   0.0342329    0.012824
           7   0.0373195   0.0203433  0.00745228
           7   0.0117851   0.0141702  0.00742089
           7           0   0.0073657  0.00470995
           7           0           0           0
           7           0           0           0
           7           0           0           0
           7           0           0           0
           8  0.00834779  0.00484908  0.00270555
           8   0.0908436   0.0257186   0.0105414
           8    0.131109   0.0772784   0.0202609
           8     0.12669   0.0803475   0.0180002
           8    0.279896    0.135774   0.0339265
           8    0.148296    0.171928     0.04125
           8    0.309359     0.24718    0.047433
           8    0.604478    0.312551    0.062009
           8    0.459128    0.364418   0.0544443
           8    0.578944    0.461706    0.055519
           8    0.297083    0.392714   0.0338118
           8    0.387436    0.419108   0.0188913
           8    0.472387    0.524806    0.116618
           8    0.291191    0.547701    0.179282
           8    0.210168     0.38406   0.0832476
